"idencuesta","ola","muestra","segmento_disenno","m0_sexo","tramo_etario","tipo_atricion","pd_diseno","pd_nr","pd_atricion","pd_atricion_trm","ponderadorlong_total","ponderadorlong_total_rs","ponderadorlong_panel","ponderadorlong_panel_rs"
1101011,1,1,110101,"Mujer","60 o más",1,321.075913776945,321.075913776945,321.075913776945,321.075913776945,422.349959677637,0.102736755550935,839.125911159252,0.0909359043473379
1101012,1,1,110101,"Mujer","60 o más",1,321.075913776945,321.075913776945,321.075913776945,321.075913776945,422.349959677637,0.102736755550935,839.125911159252,0.0909359043473379
1101013,1,1,110101,"Mujer","18 a 29",2,802.689784442362,802.689784442362,802.689784442362,802.689784442362,1322.53092296969,0.321706047386378,NA,NA
1101021,1,1,110102,"Hombre","50 a 59",2,147.159793814433,147.159793814433,147.159793814433,147.159793814433,208.845769588652,0.0508017966769851,NA,NA
1101022,1,1,110102,"Hombre","60 o más",2,147.159793814433,147.159793814433,147.159793814433,147.159793814433,281.96103447191,0.0685871069942548,NA,NA
1101023,1,1,110102,"Hombre","60 o más",1,147.159793814433,147.159793814433,147.159793814433,147.159793814433,281.96103447191,0.0685871069942548,745.134635766249,0.0807500889471026
1101032,1,1,110103,"Mujer","50 a 59",1,294.319587628866,294.319587628866,294.319587628866,294.319587628866,286.761262310578,0.0697547638691991,456.744907496815,0.0494973527415976
1101033,1,1,110103,"Mujer","30 a 39",2,294.319587628866,294.319587628866,294.319587628866,294.319587628866,372.896032363845,0.0907070727605099,NA,NA
1101041,1,1,110104,"Hombre","30 a 39",2,304.130240549828,304.130240549828,304.130240549828,304.130240549828,561.259101053969,0.136526446243135,NA,NA
1101042,1,1,110104,"Hombre","40 a 49",2,152.065120274914,152.065120274914,152.065120274914,152.065120274914,262.566477294976,0.0638693750895896,NA,NA
1101043,1,1,110104,"Mujer","18 a 29",2,304.130240549828,304.130240549828,304.130240549828,304.130240549828,501.092271925181,0.121890846843061,NA,NA
1101051,1,1,110105,"Hombre","18 a 29",2,147.159793814433,220.739690721649,220.739690721649,220.739690721649,529.753364881925,0.128862666381453,NA,NA
1101053,1,1,110105,"Mujer","18 a 29",2,294.319587628866,441.479381443299,441.479381443299,441.479381443299,727.392007633327,0.176938326062508,NA,NA
1101081,1,1,110108,"Hombre","60 o más",1,588.639175257732,588.639175257732,588.639175257732,588.639175257732,1127.84413788764,0.274348427977019,2980.538543065,0.32300035578841
1101082,1,1,110108,"Mujer","50 a 59",2,147.159793814433,147.159793814433,147.159793814433,147.159793814433,143.380631155289,0.0348773819345995,NA,NA
1101083,1,1,110108,"Hombre","40 a 49",2,735.798969072165,735.798969072165,735.798969072165,735.798969072165,1270.48295465311,0.309045363336724,NA,NA
1101102,1,1,110110,"Mujer","60 o más",2,441.479381443299,441.479381443299,441.479381443299,441.479381443299,580.731194556751,0.141263038882535,NA,NA
1101103,1,1,110110,"Hombre","30 a 39",1,294.319587628866,294.319587628866,294.319587628866,294.319587628866,543.153968761905,0.132122367332066,1880.34845616877,0.203772979806575
1101111,1,1,110111,"Mujer","18 a 29",2,441.479381443299,662.219072164948,662.219072164948,662.219072164948,1091.08801144999,0.265407489093762,NA,NA
1101113,1,1,110111,"Hombre","30 a 39",1,147.159793814433,220.739690721649,220.739690721649,220.739690721649,407.365476571429,0.0990917754990494,1410.26134212658,0.152829734854931
1101132,1,1,110113,"Mujer","18 a 29",2,294.319587628866,441.479381443299,441.479381443299,441.479381443299,727.392007633327,0.176938326062508,NA,NA
1101133,1,1,110113,"Mujer","60 o más",1,294.319587628866,441.479381443299,441.479381443299,441.479381443299,580.731194556751,0.141263038882535,1153.79812784397,0.12503686847759
