Area,Sexo,Edad,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035
2,1,40,17214,17470,17597,17673,17675,17599,17415,17131,16793,16541,16473,16624,16901,17042,16984,16829,16660,16705,16848,17069,17207,17155,16936,16846,16899,17281,17992,18906,19061,19289,18821,18276,17934,17487
2,1,41,17878,18158,18374,18454,18472,18416,18275,18016,17650,17231,16891,16727,16799,16993,17055,16950,16789,16625,16665,16755,16952,17090,17042,16831,16746,16808,17191,17899,18803,18969,19200,18740,18199,17865
2,1,42,14919,15208,15591,15933,16171,16366,16502,16567,16522,16382,16180,16040,16085,16358,16763,17085,17068,16911,16743,16734,16799,16995,17138,17087,16880,16802,16859,17249,17965,18877,19046,19283,18826,18288
2,1,43,15984,16123,16371,16712,17007,17181,17313,17373,17345,17208,16960,16643,16399,16346,16526,16868,17058,17049,16896,16678,16649,16717,16909,17054,17011,16808,16726,16793,17183,17904,18814,18987,19225,18771
2,1,44,16666,16797,16926,17162,17496,17781,17945,18055,18080,18016,17831,17521,17148,16857,16763,16935,17266,17479,17472,17271,17034,17009,17080,17285,17435,17399,17194,17121,17197,17600,18341,19282,19465,19713
2,1,45,15650,15796,15985,16178,16484,16886,17251,17500,17694,17814,17839,17732,17514,17236,17046,17072,17288,17650,17866,17814,17588,17351,17330,17408,17620,17777,17748,17549,17475,17558,17974,18734,19697,19890
2,1,46,15104,15361,15550,15785,16026,16382,16839,17258,17561,17809,17976,18043,17989,17820,17595,17471,17457,17696,18064,18244,18176,17948,17709,17695,17778,18007,18172,18147,17946,17883,17973,18402,19183,20176
2,1,47,14222,14572,14880,15122,15417,15724,16147,16675,17160,17530,17848,18075,18214,18232,18140,18005,17790,17802,18048,18383,18550,18485,18266,18027,18022,18116,18348,18528,18508,18311,18248,18347,18793,19594
2,1,48,13656,14040,14397,14717,14972,15287,15614,16051,16586,17080,17461,17775,18012,18163,18198,18135,17844,17651,17663,17867,18180,18339,18280,18066,17837,17825,17925,18162,18340,18328,18133,18070,18168,18611
2,1,49,13755,14125,14483,14819,15109,15335,15613,15901,16294,16783,17221,17530,17782,17953,18047,18035,17814,17552,17360,17339,17518,17826,17994,17938,17734,17510,17502,17604,17841,18020,18009,17823,17761,17860
2,1,50,13367,13800,14171,14532,14874,15170,15404,15685,15974,16369,16848,17274,17579,17827,18004,18108,18005,17807,17544,17327,17286,17470,17774,17944,17895,17692,17477,17478,17584,17822,18006,17992,17813,17757
2,1,51,13261,13716,14143,14508,14864,15194,15480,15694,15954,16223,16586,17025,17415,17685,17898,18047,18072,17995,17797,17503,17268,17233,17422,17728,17908,17860,17668,17461,17467,17573,17814,18003,17997,17815
2,1,52,10742,11457,11959,12452,12901,13357,13797,14205,14554,14953,15358,15862,16452,17011,17461,17876,17995,18040,17964,17734,17429,17202,17168,17354,17669,17851,17808,17619,17415,17422,17535,17779,17962,17959
2,1,53,11536,12030,12751,13232,13692,14098,14498,14877,15209,15469,15770,16067,16467,16948,17392,17730,17941,18077,18130,18026,17787,17481,17258,17232,17429,17743,17922,17889,17703,17505,17519,17638,17883,18068
2,1,54,11132,11344,11832,12531,12999,13446,13841,14228,14591,14897,15136,15409,15681,16055,16511,16932,17200,17413,17547,17564,17455,17223,16932,16716,16691,16884,17195,17375,17342,17169,16975,16988,17102,17341
2,1,55,11416,11680,11892,12380,13096,13568,14012,14399,14766,15106,15379,15575,15812,16049,16382,16807,17205,17490,17715,17829,17840,17733,17509,17220,17010,16987,17192,17515,17705,17683,17505,17316,17337,17454
2,1,56,10211,10575,10870,11116,11634,12372,12890,13383,13825,14249,14649,14991,15266,15584,15906,16341,16783,17191,17476,17674,17784,17803,17699,17476,17194,16989,16973,17177,17504,17700,17679,17508,17321,17343
2,1,57,10040,10375,10748,11048,11299,11833,12591,13123,13622,14068,14492,14888,15226,15499,15813,16143,16517,16978,17395,17664,17867,17985,18008,17912,17699,17420,17220,17211,17430,17770,17974,17954,17790,17604
2,1,58,9456,9740,10078,10460,10764,11029,11571,12334,12872,13376,13820,14248,14649,15004,15290,15624,15899,16274,16728,17122,17386,17583,17704,17736,17646,17440,17172,16982,16979,17195,17530,17732,17720,17553
2,1,59,9529,9703,9972,10291,10650,10933,11171,11690,12419,12915,13371,13755,14125,14466,14758,14985,15253,15529,15897,16327,16699,16962,17160,17284,17321,17238,17040,16785,16604,16602,16817,17148,17345,17334
2,1,60,9135,9296,9470,9742,10066,10431,10719,10965,11485,12215,12712,13157,13546,13918,14263,14566,14801,15068,15343,15690,16107,16486,16741,16946,17073,17113,17038,16852,16603,16425,16431,16644,16978,17179
2,1,61,9529,9648,9802,9965,10225,10544,10904,11174,11394,11896,12604,13064,13466,13803,14125,14418,14731,14975,15256,15521,15870,16297,16681,16954,17168,17303,17354,17283,17100,16854,16685,16693,16918,17262
2,1,62,8197,8361,8528,8730,8948,9262,9632,10051,10391,10696,11270,12047,12605,13120,13584,14044,14413,14730,14977,15247,15512,15867,16300,16691,16969,17190,17337,17393,17331,17155,16910,16744,16763,16994
2,1,63,8889,8995,9120,9235,9385,9548,9806,10114,10456,10709,10910,11376,12039,12465,12834,13140,13527,13887,14193,14419,14674,14928,15272,15693,16075,16346,16565,16707,16770,16716,16548,16316,16159,16180
2,1,64,8660,8822,8933,9058,9175,9333,9497,9758,10067,10408,10657,10850,11311,11965,12389,12751,13152,13544,13907,14206,14428,14690,14947,15306,15735,16122,16404,16631,16783,16851,16801,16639,16415,16268
