"año","sexo","total"
2016,"Hombre",5787227
2016,"Mujer",6245646
2017,"Hombre",5915497
2017,"Mujer",6364979
2018,"Hombre",6075178
2018,"Mujer",6518141
2019,"Hombre",6238700
2019,"Mujer",6680482
2020,"Hombre",6395184
2020,"Mujer",6839621
2021,"Hombre",6496501
2021,"Mujer",6943166
2022,"Hombre",6567929
2022,"Mujer",7016682
