idencuesta,ola,muestra,responde,estrato_disenno,segmento_disenno,sexo_imp,edad_imp_tramo,edu_imp,civil_imp,ola_num
1101042,2016,Original,Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,0
1101042,2017,Original,Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,1
1101042,2018,Original,No Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,2
1101042,2019,Original,No Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,3
1101042,2021,Original,No Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,5
1101042,2022,Original,No Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,6
1101043,2016,Original,Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,0
1101043,2017,Original,Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,1
1101043,2018,Original,No Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,2
1101043,2019,Original,No Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,3
1101043,2021,Original,No Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,5
1101043,2022,Original,No Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,6
1101051,2016,Original,Responde,Ciudades Grandes,110105,Hombre,18 a 29,Universitaria,Soltero,0
1101051,2017,Original,Responde,Ciudades Grandes,110105,Hombre,18 a 29,Universitaria,Soltero,1
1101051,2018,Original,No Responde,Ciudades Grandes,110105,Hombre,18 a 29,Universitaria,Soltero,2
1101051,2019,Original,Responde,Ciudades Grandes,110105,Hombre,18 a 29,Técnica,Soltero,3
1101051,2021,Original,No Responde,Ciudades Grandes,110105,Hombre,18 a 29,Técnica,Soltero,5
1101051,2022,Original,No Responde,Ciudades Grandes,110105,Hombre,18 a 29,Técnica,Soltero,6
1101053,2016,Original,Responde,Ciudades Grandes,110105,Mujer,18 a 29,Universitaria,Soltero,0
1101053,2017,Original,Responde,Ciudades Grandes,110105,Mujer,18 a 29,Universitaria,Soltero,1
1101053,2018,Original,Responde,Ciudades Grandes,110105,Mujer,18 a 29,Universitaria,Soltero,2
1101053,2019,Original,Responde,Ciudades Grandes,110105,Mujer,18 a 29,Universitaria,Soltero,3
1101053,2021,Original,Responde,Ciudades Grandes,110105,Mujer,18 a 29,Técnica,En Pareja,5
1101053,2022,Original,No Responde,Ciudades Grandes,110105,Mujer,18 a 29,Técnica,En Pareja,6
1101081,2016,Original,Responde,Ciudades Grandes,110108,Hombre,60 0 más,Básica,Soltero,0
1101081,2017,Original,Responde,Ciudades Grandes,110108,Hombre,60 0 más,Básica,Soltero,1
1101081,2018,Original,Responde,Ciudades Grandes,110108,Hombre,60 0 más,Básica,Soltero,2
1101081,2019,Original,Responde,Ciudades Grandes,110108,Hombre,60 0 más,Básica,En Pareja,3
1101081,2021,Original,Responde,Ciudades Grandes,110108,Hombre,60 0 más,Básica,Soltero,5
1101081,2022,Original,Responde,Ciudades Grandes,110108,Hombre,60 0 más,Básica,En Pareja,6
1101082,2016,Original,Responde,Ciudades Grandes,110108,Mujer,45 a 59,Media,Soltero,0
1101082,2017,Original,Responde,Ciudades Grandes,110108,Mujer,45 a 59,Media,Soltero,1
1101082,2018,Original,Responde,Ciudades Grandes,110108,Mujer,45 a 59,Media,En Pareja,2
1101082,2019,Original,Responde,Ciudades Grandes,110108,Mujer,45 a 59,Media,Soltero,3
1101082,2021,Original,No Responde,Ciudades Grandes,110108,Mujer,45 a 59,Media,Soltero,5
1101082,2022,Original,Responde,Ciudades Grandes,110108,Mujer,45 a 59,Media,Soltero,6
1101083,2016,Original,Responde,Ciudades Grandes,110108,Hombre,45 a 59,Media,Soltero,0
1101083,2017,Original,Responde,Ciudades Grandes,110108,Hombre,45 a 59,Media,Soltero,1
1101083,2018,Original,Responde,Ciudades Grandes,110108,Hombre,45 a 59,Media,Soltero,2
1101083,2019,Original,Responde,Ciudades Grandes,110108,Hombre,45 a 59,Básica,Soltero,3
1101083,2021,Original,No Responde,Ciudades Grandes,110108,Hombre,45 a 59,Básica,Soltero,5
1101083,2022,Original,No Responde,Ciudades Grandes,110108,Hombre,45 a 59,Básica,Soltero,6
1101102,2016,Original,Responde,Ciudades Grandes,110110,Mujer,60 0 más,Técnica,En Pareja,0
1101102,2017,Original,Responde,Ciudades Grandes,110110,Mujer,60 0 más,Media,En Pareja,1
1101102,2018,Original,Responde,Ciudades Grandes,110110,Mujer,60 0 más,Técnica,En Pareja,2
1101102,2019,Original,Responde,Ciudades Grandes,110110,Mujer,60 0 más,Técnica,En Pareja,3
1101102,2021,Original,No Responde,Ciudades Grandes,110110,Mujer,60 0 más,Técnica,En Pareja,5
1101102,2022,Original,Responde,Ciudades Grandes,110110,Mujer,60 0 más,Técnica,En Pareja,6
1101103,2016,Original,Responde,Ciudades Grandes,110110,Hombre,30 a 44,Media,Soltero,0
1101103,2017,Original,Responde,Ciudades Grandes,110110,Hombre,30 a 44,Media,Soltero,1
1101103,2018,Original,Responde,Ciudades Grandes,110110,Hombre,30 a 44,Media,Soltero,2
1101103,2019,Original,Responde,Ciudades Grandes,110110,Hombre,30 a 44,Media,Soltero,3
1101103,2021,Original,Responde,Ciudades Grandes,110110,Hombre,30 a 44,Media,Soltero,5
1101103,2022,Original,Responde,Ciudades Grandes,110110,Hombre,30 a 44,Media,Soltero,6
1101111,2016,Original,Responde,Ciudades Grandes,110111,Mujer,18 a 29,Media,En Pareja,0
1101111,2017,Original,Responde,Ciudades Grandes,110111,Mujer,18 a 29,Media,En Pareja,1
1101111,2018,Original,Responde,Ciudades Grandes,110111,Mujer,18 a 29,Media,Soltero,2
1101111,2019,Original,Responde,Ciudades Grandes,110111,Mujer,18 a 29,Media,En Pareja,3
1101111,2021,Original,No Responde,Ciudades Grandes,110111,Mujer,18 a 29,Media,En Pareja,5
1101111,2022,Original,Responde,Ciudades Grandes,110111,Mujer,18 a 29,Media,En Pareja,6
1101113,2016,Original,Responde,Ciudades Grandes,110111,Hombre,30 a 44,Media,Soltero,0
1101113,2017,Original,Responde,Ciudades Grandes,110111,Hombre,30 a 44,Media,Soltero,1
1101113,2018,Original,Responde,Ciudades Grandes,110111,Hombre,30 a 44,Media,Soltero,2
1101113,2019,Original,Responde,Ciudades Grandes,110111,Hombre,30 a 44,Media,Soltero,3
1101113,2021,Original,Responde,Ciudades Grandes,110111,Hombre,30 a 44,Media,Soltero,5
1101113,2022,Original,Responde,Ciudades Grandes,110111,Hombre,30 a 44,Media,En Pareja,6
1101132,2016,Original,Responde,Ciudades Grandes,110113,Mujer,18 a 29,Media,En Pareja,0
1101132,2017,Original,Responde,Ciudades Grandes,110113,Mujer,18 a 29,Media,En Pareja,1
1101132,2018,Original,Responde,Ciudades Grandes,110113,Mujer,18 a 29,Media,En Pareja,2
1101132,2019,Original,Responde,Ciudades Grandes,110113,Mujer,18 a 29,Media,En Pareja,3
1101132,2021,Original,Responde,Ciudades Grandes,110113,Mujer,18 a 29,Media,Soltero,5
1101132,2022,Original,No Responde,Ciudades Grandes,110113,Mujer,18 a 29,Media,Soltero,6
1101133,2016,Original,Responde,Ciudades Grandes,110113,Mujer,60 0 más,Media,Soltero,0
1101133,2017,Original,Responde,Ciudades Grandes,110113,Mujer,60 0 más,Media,Soltero,1
1101133,2018,Original,Responde,Ciudades Grandes,110113,Mujer,60 0 más,Media,Soltero,2
1101133,2019,Original,Responde,Ciudades Grandes,110113,Mujer,60 0 más,Media,Soltero,3
1101133,2021,Original,Responde,Ciudades Grandes,110113,Mujer,60 0 más,Media,Soltero,5
1101133,2022,Original,Responde,Ciudades Grandes,110113,Mujer,60 0 más,Media,Soltero,6
1101151,2016,Original,Responde,Ciudades Grandes,110115,Hombre,18 a 29,Universitaria,Soltero,0
1101151,2017,Original,Responde,Ciudades Grandes,110115,Hombre,18 a 29,Universitaria,Soltero,1
1101151,2018,Original,Responde,Ciudades Grandes,110115,Hombre,18 a 29,Universitaria,Soltero,2
1101151,2019,Original,Responde,Ciudades Grandes,110115,Hombre,18 a 29,Universitaria,Soltero,3
1101151,2021,Original,Responde,Ciudades Grandes,110115,Hombre,18 a 29,Universitaria,Soltero,5
1101151,2022,Original,Responde,Ciudades Grandes,110115,Hombre,18 a 29,Universitaria,En Pareja,6
1101152,2016,Original,Responde,Ciudades Grandes,110115,Mujer,18 a 29,Técnica,En Pareja,0
1101152,2017,Original,Responde,Ciudades Grandes,110115,Mujer,18 a 29,Técnica,En Pareja,1
1101152,2018,Original,Responde,Ciudades Grandes,110115,Mujer,18 a 29,Técnica,En Pareja,2
1101152,2019,Original,Responde,Ciudades Grandes,110115,Mujer,18 a 29,Técnica,Soltero,3
1101152,2021,Original,Responde,Ciudades Grandes,110115,Mujer,18 a 29,Técnica,Soltero,5
1101152,2022,Original,Responde,Ciudades Grandes,110115,Mujer,18 a 29,Técnica,Soltero,6
1101153,2016,Original,Responde,Ciudades Grandes,110115,Mujer,45 a 59,Media,Soltero,0
1101153,2017,Original,Responde,Ciudades Grandes,110115,Mujer,45 a 59,Media,Soltero,1
1101153,2018,Original,Responde,Ciudades Grandes,110115,Mujer,45 a 59,Técnica,En Pareja,2
1101153,2019,Original,Responde,Ciudades Grandes,110115,Mujer,45 a 59,Técnica,En Pareja,3
1101153,2021,Original,Responde,Ciudades Grandes,110115,Mujer,45 a 59,Media,En Pareja,5
1101153,2022,Original,Responde,Ciudades Grandes,110115,Mujer,45 a 59,Media,En Pareja,6
1101171,2016,Original,Responde,Ciudades Grandes,110117,Hombre,45 a 59,Básica,En Pareja,0
1101171,2017,Original,Responde,Ciudades Grandes,110117,Hombre,45 a 59,Básica,En Pareja,1
1101171,2018,Original,Responde,Ciudades Grandes,110117,Hombre,45 a 59,Básica,En Pareja,2
1101171,2019,Original,Responde,Ciudades Grandes,110117,Hombre,45 a 59,Básica,En Pareja,3
1101171,2021,Original,Responde,Ciudades Grandes,110117,Hombre,45 a 59,Básica,En Pareja,5
1101171,2022,Original,Responde,Ciudades Grandes,110117,Hombre,45 a 59,Básica,En Pareja,6
1101173,2016,Original,Responde,Ciudades Grandes,110117,Mujer,18 a 29,Media,En Pareja,0
1101173,2017,Original,Responde,Ciudades Grandes,110117,Mujer,18 a 29,Técnica,En Pareja,1
1101173,2018,Original,Responde,Ciudades Grandes,110117,Mujer,18 a 29,Técnica,En Pareja,2
1101173,2019,Original,Responde,Ciudades Grandes,110117,Mujer,18 a 29,Técnica,En Pareja,3
1101173,2021,Original,Responde,Ciudades Grandes,110117,Mujer,18 a 29,Técnica,En Pareja,5
1101173,2022,Original,Responde,Ciudades Grandes,110117,Mujer,18 a 29,Técnica,En Pareja,6
1107011,2016,Original,Responde,Ciudades Grandes,110701,Mujer,45 a 59,Universitaria,En Pareja,0
1107011,2017,Original,Responde,Ciudades Grandes,110701,Mujer,45 a 59,Universitaria,En Pareja,1
1107011,2018,Original,Responde,Ciudades Grandes,110701,Mujer,45 a 59,Universitaria,En Pareja,2
1107011,2019,Original,Responde,Ciudades Grandes,110701,Mujer,45 a 59,Universitaria,En Pareja,3
1107011,2021,Original,Responde,Ciudades Grandes,110701,Mujer,45 a 59,Universitaria,Soltero,5
1107011,2022,Original,Responde,Ciudades Grandes,110701,Mujer,45 a 59,Universitaria,En Pareja,6
